Zipcode,Address,Population,Median Age,Household Income,Per Capita Income,Poverty Rate,lat,lng,Lat,Lng,bank_count
16153,"Stoneboro, PA 16153, USA",2686,44.6,50714.0,22506,15.93447506,,,41.3229151,-80.08701549999999,62
82327,"Hanna, WY 82327, USA",792,39.8,34531.0,22759,25.25252525,,,42.1409889,-106.676292,2
46236,"Indianapolis, IN 46236, USA",27509,40.3,80833.0,38140,4.74753717,,,39.9008411,-85.9611082,170
50525,"Clarion, IA 50525, USA",3491,42.2,39200.0,25499,16.06989401,,,42.76244579999999,-93.7841503,68
14555,"Sodus Point, NY 14555, USA",1229,54.9,57500.0,30559,11.31000814,,,43.2605563,-76.98158769999999,68
73673,"Willow, OK 73673, USA",352,53.6,40234.0,26554,16.19318182,,,35.0343164,-99.5673479,4
60437,"Kinsman, IL 60437, USA",157,49.8,36563.0,23715,8.917197452,,,41.1815419,-88.56619529999999,11
50315,"Des Moines, IA 50315, USA",35873,34.4,41793.0,20989,16.15421069,,,41.5346558,-93.61164939999999,185
35801,"Huntsville, AL 35801, USA",22253,44.0,59352.0,41807,8.668494136,,,34.7364493,-86.5501654,184
78414,"Corpus Christi, TX 78414, USA",33033,34.0,75971.0,33464,5.542941907,,,27.6474296,-97.3624598,199
78742,"Austin, TX 78742, USA",810,33.6,19688.0,15485,50.86419753,,,30.2406057,-97.6602365,148
67530,"Great Bend, KS 67530, USA",19576,39.1,43352.0,26179,14.727217000000001,,,38.3423212,-98.8142264,193
49058,"Hastings, MI 49058, USA",19031,40.8,46777.0,22137,13.18375282,,,42.6306916,-85.2929384,196
35907,"Gadsden, AL 35907, USA",8339,40.7,70147.0,26791,5.144501739,,,33.8890435,-86.0325629,75
98106,"Seattle, WA 98106, USA",23855,35.3,57875.0,27922,16.38230979,,,47.5476069,-122.3514653,194
3077,"Raymond, NH 03077, USA",10218,39.5,61488.0,27774,6.517909571000001,,,30.2245634,-93.3593277,158
33614,"Tampa, FL 33614, USA",48125,35.5,35098.0,18039,23.22701299,,,28.0133862,-82.50775929999999,195
24887,"Switchback, WV 24887, USA",125,14.8,,4526,88.8,,,37.3761297,-81.37933660000002,30
97321,"Albany, OR 97321, USA",24852,41.1,60271.0,27961,11.657009500000001,,,44.6393041,-123.1323005,155
36370,"Pansey, AL 36370, USA",929,43.9,44018.0,21152,10.33369214,,,31.1375707,-85.1583064,41
85611,"Elgin, AZ 85611, USA",963,53.1,50441.0,23419,9.345794393,,,31.672597,-110.4977108,15
76950,"Sonora, TX 76950, USA",4069,35.5,53500.0,27732,7.176210371,,,30.3776869,-100.5296115,2
99753,"Koyuk, AK 99753, USA",279,19.9,28333.0,8987,53.76344086,,,64.9424911,-161.127581,2
98409,"Tacoma, WA 98409, USA",23423,31.4,46886.0,21513,19.83520471,,,47.2019421,-122.4780244,198
83849,"Osburn, ID 83849, USA",1780,49.0,37946.0,22393,5.561797753,,,47.53796029999999,-115.9890696,90
77328,"Cleveland, TX 77328, USA",15666,34.0,48250.0,19670,18.51780927,,,30.3792489,-95.18492189999999,19
6019,"Canton, CT 06019, USA",10249,45.1,88281.0,44781,3.766221095,,,33.529026,-99.64694949999999,2
97721,"Princeton, OR 97721, USA",610,30.7,27321.0,11412,50.98360656,,,42.58252,-118.521529,4
30601,"Athens, GA 30601, USA",21349,26.0,20884.0,13402,47.20127406,,,34.00684500000001,-83.3468784,185
10303,"Staten Island, NY 10303, USA",24537,31.1,51537.0,22077,21.82825936,,,40.6311444,-74.17390569999999,198
58466,"Marion, ND 58466, USA",509,44.5,69844.0,36981,9.430255403,,,46.5594224,-98.3481542,8
95246,"Mountain Ranch, CA 95246, USA",1207,52.8,47379.0,29646,5.21955261,,,38.2449553,-120.5048792,9
60622,"Chicago, IL 60622, USA",54272,31.1,68923.0,43393,14.77557488,,,41.9013087,-87.68276759999999,199
11105,"New York, NY 11105, USA",36190,35.3,57525.0,33537,13.53688864,,,40.7787902,-73.9065883,200
10803,"Pelham, NY 10803, USA",12439,39.7,140000.0,73808,3.006672562,,,40.8996475,-73.8036752,198
15937,"Jerome, PA 15937, USA",601,45.7,65000.0,24503,5.158069884,,,40.2084869,-78.9885845,48
93925,"Chualar, CA 93925, USA",1708,32.5,70909.0,23642,7.142857143,,,36.5999881,-121.3770336,2
79118,"Amarillo, TX 79118, USA",20026,34.6,62323.0,25783,11.954459199999999,,,35.1042931,-101.7296049,12
22066,"Great Falls, VA 22066, USA",19475,43.5,214219.0,89776,1.201540436,,,39.0188593,-77.3094674,150
98591,"Toledo, WA 98591, USA",3837,49.0,50488.0,24795,10.50299713,,,46.46427689999999,-122.7398348,30
32187,"San Mateo, FL 32187, USA",1996,46.5,30300.0,18933,15.88176353,,,29.5775097,-81.54867279999999,63
75783,"Quitman, TX 75783, USA",7486,45.1,40322.0,23210,12.03580016,,,32.8260186,-95.435853,92
73014,"Calumet, OK 73014, USA",1642,39.8,58264.0,26515,9.439707674,,,35.6172323,-98.1557066,12
96084,"Round Mountain, CA 96084, USA",593,55.0,31897.0,23506,16.69477234,,,40.9048101,-122.0229676,4
84118,"Salt Lake City, UT 84118, USA",67019,30.4,61203.0,19777,12.23235202,,,40.6479987,-112.0059052,155
34209,"Bradenton, FL 34209, USA",33008,54.1,51572.0,28711,9.294716432000001,,,27.5073732,-82.63754019999999,192
33559,"Lutz, FL 33559, USA",16952,34.4,55643.0,27345,11.43817839,,,28.1537767,-82.4156829,163
58647,"New England, ND 58647, USA",1156,47.0,49375.0,26557,5.882352941000001,,,46.4819779,-102.913013,14
4107,"Cape Elizabeth, ME 04107, USA",8993,48.4,98629.0,53526,3.180251307,,,32.1603975,-94.92788390000001,19
63039,"Gray Summit, MO 63039, USA",1297,31.7,44521.0,18539,4.703161141,,,38.4977334,-90.8436885,72
37923,"Knoxville, TN 37923, USA",27624,37.0,53893.0,30167,11.23298581,,,35.9276062,-84.0854432,177
40060,"Raywick, KY 40060, USA",1115,44.2,40813.0,18390,14.08071749,,,37.5302785,-85.45818589999999,5
76525,"Evant, TX 76525, USA",1113,44.9,42750.0,21032,11.32075472,,,31.4823544,-98.1557066,11
32025,"Lake City, FL 32025, USA",23341,35.2,39916.0,17493,16.04472816,,,30.111156,-82.5834947,143
42456,"Slaughters, KY 42456, USA",1438,39.6,47930.0,21130,14.534075099999999,,,37.5070164,-87.55936129999999,5
3064,"Nashua, NH 03064, USA",14533,40.6,64026.0,34045,11.64934976,,,30.4071546,-91.1021896,190
79416,"Lubbock, TX 79416, USA",32772,26.2,45937.0,23645,19.80349078,,,33.60361779999999,-101.9690458,146
78941,"Flatonia, TX 78941, USA",2754,45.7,40304.0,23115,11.29266521,,,29.7574106,-97.1574784,79
44147,"Broadview Heights, OH 44147, USA",19331,42.1,76021.0,37217,6.533547152000001,,,41.33031,-81.68020539999999,182
2740,"New Bedford, MA 02740, USA",43308,37.4,34259.0,20649,24.51510114,,,40.977137,-81.416139,152
48221,"Detroit, MI 48221, USA",39455,39.6,38588.0,20123,23.49005196,,,42.4349152,-83.15417959999999,184
58369,"St John, ND 58369, USA",1306,38.9,29375.0,17469,30.93415008,,,48.9696899,-99.7917612,11
64480,"Rea, MO 64480, USA",325,57.5,65000.0,34670,11.69230769,,,40.0720342,-94.6657027,2
49415,"Fruitport, MI 49415, USA",6260,44.3,51587.0,26853,6.757188498,,,43.1669959,-86.1141045,157
72833,"Danville, AR 72833, USA",4297,36.7,41512.0,17870,21.73609495,,,35.0111286,-93.4801349,46
27262,"High Point, NC 27262, USA",24635,38.5,39867.0,22889,21.29490562,,,35.9679365,-80.0423151,183
31547,"Kings Bay Base, GA 31547, USA",952,22.0,45238.0,24428,12.18487395,,,30.783719,-81.5514154,175
5483,"Sheldon, VT 05483, USA",1481,35.9,65039.0,24743,7.4949358539999995,,,46.7386596,-92.2825137,66
78885,"Vanderpool, TX 78885, USA",106,55.5,80417.0,38706,4.716981132,,,29.7918251,-99.5228528,7
15206,"Pittsburgh, PA 15206, USA",29098,36.6,33792.0,27733,20.10103787,,,40.4720642,-79.9136731,200
11693,"Far Rockaway, NY 11693, USA",11335,39.1,50570.0,25149,21.44684605,,,40.6166766,-73.8272029,133
14855,"Jasper, NY 14855, USA",988,29.3,43750.0,15913,20.85020243,,,42.1589149,-77.4931403,13
54458,"Nelsonville, WI 54458, USA",150,36.5,56389.0,20718,17.33333333,,,44.4960026,-89.30994369999999,35
49616,"Benzonia, MI 49616, USA",1884,45.7,39145.0,18568,17.78131635,,,44.5769402,-86.0733498,88
71353,"Melville, LA 71353, USA",1646,43.4,26719.0,19660,36.39125152,,,30.68885,-91.7441475,8
76706,"Waco, TX 76706, USA",36055,22.6,26398.0,14613,38.15004854,,,31.456042,-97.0713572,40
61606,"Peoria, IL 61606, USA",7989,21.9,35904.0,17917,30.27913381,,,40.6974655,-89.6133926,198
27298,"Liberty, NC 27298, USA",8969,45.4,43097.0,23966,11.91883153,,,35.874799,-79.582819,75
12789,"Woodridge, NY 12789, USA",1887,37.5,51827.0,23318,10.81081081,,,41.6918858,-74.5814773,114
77373,"Spring, TX 77373, USA",55927,32.4,67742.0,25921,9.578557763,,,30.0605454,-95.3834854,120
32444,"Lynn Haven, FL 32444, USA",19205,40.2,61233.0,28643,10.77323614,,,30.2371159,-85.6537627,196
68723,"Carroll, NE 68723, USA",513,51.2,59000.0,25617,5.653021442000001,,,49.3824172,8.587470800000002,190
14806,"Andover, NY 14806, USA",2161,41.6,49792.0,22379,17.26052753,,,42.1414761,-77.77953699999999,20
67351,"Liberty, KS 67351, USA",587,48.1,84250.0,30635,6.8143100510000005,,,37.1353975,-95.551228,3
28226,"Charlotte, NC 28226, USA",37412,41.1,68291.0,48777,6.388324602000001,,,35.1173473,-80.7990185,195
92543,"Hemet, CA 92543, USA",34406,36.5,26909.0,14425,30.7795152,,,33.6991526,-116.9793554,188
45684,"Stout, OH 45684, USA",1862,40.8,47517.0,18795,13.58754028,,,38.6432345,-83.1863358,15
49893,"Wallace, MI 49893, USA",2008,47.9,59696.0,27882,8.964143426,,,45.2932752,-87.6120353,10
97022,"Eagle Creek, OR 97022, USA",3208,43.9,66927.0,24343,10.28678304,,,45.3551259,-122.3293482,103
24083,"Daleville, VA 24083, USA",2277,46.4,91295.0,47678,0.658761528,,,37.4047916,-79.9248669,160
67839,"Dighton, KS 67839, USA",1251,46.8,49773.0,30282,9.67226219,,,38.4456222,-100.3497895,1
28371,"Parkton, NC 28371, USA",6628,33.6,43365.0,18333,21.16777308,,,34.9119197,-78.9966888,142
13635,"Edwards, NY 13635, USA",837,46.0,33194.0,21320,17.68219833,,,44.2825835,-75.2452318,8
55069,"Rush City, MN 55069, USA",5450,37.7,54203.0,20182,10.99082569,,,45.6951168,-92.9521365,46
47952,"Kingman, IN 47952, USA",2685,45.5,37232.0,20271,18.212290499999998,,,39.9709267,-87.32149079999999,16
56371,"Roscoe, MN 56371, USA",132,52.1,51250.0,26395,4.545454545,,,45.4335666,-94.6389975,105
78122,"Leesville, TX 78122, USA",200,56.6,30610.0,20433,13.0,,,29.41650959999999,-97.6873706,3
7718,"Belford, NJ 07718, USA",6143,40.5,87398.0,36267,6.82077161,,,29.091596,-98.8632494,117
71825,"Blevins, AR 71825, USA",686,32.6,35625.0,13098,36.1516035,,,33.8682784,-93.5509074,8
63138,"St. Louis, MO 63138, USA",20863,30.3,33691.0,17488,25.58596559,,,38.7994436,-90.20571079999999,147
